vmt,type,num_drivers,cum_frequency
31,90th%_vmt,129,129
31,95th%_vmt,128,128
31,99th%_vmt,128,128
31,avg_total_vmt,132,132
32,90th%_vmt,525,654
32,95th%_vmt,526,654
32,99th%_vmt,526,654
32,avg_total_vmt,540,672
33,90th%_vmt,925,1579
33,95th%_vmt,924,1578
33,99th%_vmt,924,1578
33,avg_total_vmt,953,1625
34,90th%_vmt,1342,2921
34,95th%_vmt,1342,2920
34,99th%_vmt,1342,2920
34,avg_total_vmt,1431,3056
35,90th%_vmt,1643,4564
35,95th%_vmt,1642,4562
35,99th%_vmt,1642,4562
35,avg_total_vmt,1785,4841
36,90th%_vmt,1886,6450
36,95th%_vmt,1887,6449
36,99th%_vmt,1886,6448
36,avg_total_vmt,2108,6949
37,90th%_vmt,2125,8575
37,95th%_vmt,2122,8571
37,99th%_vmt,2121,8569
37,avg_total_vmt,2473,9422
38,90th%_vmt,2255,10830
38,95th%_vmt,2254,10825
38,99th%_vmt,2253,10822
38,avg_total_vmt,2718,12140
39,90th%_vmt,2436,13266
39,95th%_vmt,2435,13260
39,99th%_vmt,2435,13257
39,avg_total_vmt,3027,15167
40,90th%_vmt,2602,15868
40,95th%_vmt,2599,15859
40,99th%_vmt,2598,15855
40,avg_total_vmt,3412,18579
41,90th%_vmt,2832,18700
41,95th%_vmt,2832,18691
41,99th%_vmt,2833,18688
41,avg_total_vmt,3746,22325
42,90th%_vmt,2847,21547
42,95th%_vmt,2840,21531
42,99th%_vmt,2838,21526
42,avg_total_vmt,4069,26394
43,90th%_vmt,2964,24511
43,95th%_vmt,2948,24479
43,99th%_vmt,2948,24474
43,avg_total_vmt,4386,30780
44,90th%_vmt,3048,27559
44,95th%_vmt,3045,27524
44,99th%_vmt,3040,27514
44,avg_total_vmt,4853,35633
45,90th%_vmt,3209,30768
45,95th%_vmt,3193,30717
45,99th%_vmt,3191,30705
45,avg_total_vmt,5350,40983
46,90th%_vmt,3210,33978
46,95th%_vmt,3199,33916
46,99th%_vmt,3197,33902
46,avg_total_vmt,5647,46630
47,90th%_vmt,3373,37351
47,95th%_vmt,3347,37263
47,99th%_vmt,3343,37245
47,avg_total_vmt,6331,52961
48,90th%_vmt,3387,40738
48,95th%_vmt,3363,40626
48,99th%_vmt,3353,40598
48,avg_total_vmt,6634,59595
49,90th%_vmt,3501,44239
49,95th%_vmt,3461,44087
49,99th%_vmt,3460,44058
49,avg_total_vmt,7355,66950
