vmt,Clusters,num_drivers,cum_frequency
31,Low Frequency Low Mileage,128,128
31,All,128,128
32,Low Frequency High Mileage,1,1
32,Low Frequency Low Mileage,525,653
32,All,526,654
33,Low Frequency Low Mileage,924,1577
33,All,924,1578
34,High Frequency High Mileage,1,1
34,Low Frequency Low Mileage,1341,2918
34,All,1342,2920
35,Ultra High Mileage,1,1
35,Low Frequency High Mileage,1,2
35,Low Frequency Low Mileage,1640,4558
35,All,1642,4562
36,Low Frequency Low Mileage,1887,6445
36,All,1887,6449
37,Low Frequency Low Mileage,2122,8567
37,All,2122,8571
38,Low Frequency High Mileage,2,4
38,Low Frequency Low Mileage,2252,10819
38,All,2254,10825
39,Low Frequency Low Mileage,2435,13254
39,All,2435,13260
40,Low Frequency High Mileage,1,5
40,Low Frequency Low Mileage,2598,15852
40,All,2599,15859
41,Low Frequency High Mileage,2,7
41,Low Frequency Low Mileage,2830,18682
41,All,2832,18691
42,Low Frequency High Mileage,4,11
42,Low Frequency Low Mileage,2836,21518
42,All,2840,21531
43,Ultra High Mileage,1,2
43,High Frequency High Mileage,1,2
43,Low Frequency High Mileage,5,16
43,Low Frequency Low Mileage,2941,24459
43,All,2948,24479
44,Low Frequency High Mileage,1,17
44,Low Frequency Low Mileage,3044,27503
44,All,3045,27524
45,Low Frequency High Mileage,3,20
45,Low Frequency Low Mileage,3190,30693
45,All,3193,30717
46,High Frequency High Mileage,2,4
46,Low Frequency High Mileage,4,24
46,Low Frequency Low Mileage,3193,33886
46,All,3199,33916
47,Low Frequency High Mileage,3,27
47,Low Frequency Low Mileage,3344,37230
47,All,3347,37263
48,Low Frequency High Mileage,7,34
48,Low Frequency Low Mileage,3356,40586
48,All,3363,40626
49,Low Frequency Low Mileage,3461,44047
49,All,3461,44087
50,Low Frequency High Mileage,5,39
50,Low Frequency Low Mileage,3615,47662
50,All,3620,47707
51,High Frequency High Mileage,1,5
51,Low Frequency High Mileage,2,41
51,Low Frequency Low Mileage,3693,51355
51,All,3696,51403
52,High Frequency High Mileage,1,6
52,Low Frequency High Mileage,11,52
52,Low Frequency Low Mileage,3765,55120
52,All,3777,55180
53,Low Frequency High Mileage,10,62
53,Low Frequency Low Mileage,3750,58870
53,All,3760,58940
54,High Frequency High Mileage,1,7
54,Low Frequency High Mileage,7,69
54,Low Frequency Low Mileage,3818,62688
54,All,3826,62766
55,Low Frequency High Mileage,12,81
55,Low Frequency Low Mileage,4115,66803
55,All,4127,66893
56,High Frequency High Mileage,1,8
56,Low Frequency High Mileage,7,88
56,Low Frequency Low Mileage,4016,70819
56,All,4024,70917
57,High Frequency High Mileage,2,10
57,Low Frequency High Mileage,9,97
57,Low Frequency Low Mileage,4092,74911
57,All,4103,75020
58,High Frequency High Mileage,3,13
58,Low Frequency High Mileage,17,114
58,Low Frequency Low Mileage,4123,79034
58,All,4143,79163
59,High Frequency High Mileage,1,14
59,Low Frequency High Mileage,23,137
59,Low Frequency Low Mileage,4092,83126
59,All,4116,83279
60,High Frequency High Mileage,2,16
60,Low Frequency High Mileage,16,153
60,Low Frequency Low Mileage,4264,87390
60,All,4282,87561
61,High Frequency High Mileage,4,20
61,Low Frequency High Mileage,13,166
61,Low Frequency Low Mileage,4308,91698
61,All,4325,91886
62,Low Frequency High Mileage,23,189
62,Low Frequency Low Mileage,4409,96107
62,All,4432,96318
63,Low Frequency High Mileage,21,210
63,Low Frequency Low Mileage,4381,100488
63,All,4402,100720
64,High Frequency High Mileage,2,22
64,Low Frequency High Mileage,25,235
64,Low Frequency Low Mileage,4517,105005
64,All,4544,105264
65,High Frequency High Mileage,3,25
65,Low Frequency High Mileage,30,265
65,Low Frequency Low Mileage,4556,109561
65,All,4589,109853
66,Ultra High Mileage,1,3
66,High Frequency High Mileage,1,26
66,Low Frequency High Mileage,38,303
66,Low Frequency Low Mileage,4708,114269
66,All,4748,114601
67,Ultra High Mileage,1,4
67,High Frequency High Mileage,1,27
67,Low Frequency High Mileage,39,342
67,Low Frequency Low Mileage,4739,119008
67,All,4780,119381
68,High Frequency High Mileage,3,30
68,Low Frequency High Mileage,43,385
68,Low Frequency Low Mileage,4780,123788
68,All,4826,124207
69,High Frequency High Mileage,2,32
69,Low Frequency High Mileage,54,439
69,Low Frequency Low Mileage,4799,128587
69,All,4855,129062
70,High Frequency High Mileage,5,37
70,Low Frequency High Mileage,56,495
70,Low Frequency Low Mileage,4843,133430
70,All,4904,133966
71,High Frequency High Mileage,3,40
71,Low Frequency High Mileage,52,547
71,Low Frequency Low Mileage,4899,138329
71,All,4954,138920
72,High Frequency High Mileage,4,44
72,Low Frequency High Mileage,66,613
72,Low Frequency Low Mileage,5016,143345
72,All,5086,144006
73,High Frequency High Mileage,2,46
73,Low Frequency High Mileage,77,690
73,Low Frequency Low Mileage,4906,148251
73,All,4985,148991
74,High Frequency High Mileage,11,57
74,Low Frequency High Mileage,100,790
74,Low Frequency Low Mileage,5117,153368
74,All,5228,154219
75,High Frequency High Mileage,9,66
75,Low Frequency High Mileage,92,882
75,Low Frequency Low Mileage,5234,158602
75,All,5335,159554
76,Ultra High Mileage,1,5
76,High Frequency High Mileage,7,73
76,Low Frequency High Mileage,125,1007
76,Low Frequency Low Mileage,5253,163855
76,All,5386,164940
77,Ultra High Mileage,1,6
77,High Frequency High Mileage,10,83
77,Low Frequency High Mileage,123,1130
77,Low Frequency Low Mileage,5265,169120
77,All,5399,170339
78,High Frequency High Mileage,15,98
78,Low Frequency High Mileage,127,1257
78,Low Frequency Low Mileage,5431,174551
78,All,5573,175912
79,High Frequency High Mileage,14,112
79,Low Frequency High Mileage,145,1402
79,Low Frequency Low Mileage,5401,179952
79,All,5560,181472
80,Ultra High Mileage,1,7
80,High Frequency High Mileage,16,128
80,Low Frequency High Mileage,150,1552
80,Low Frequency Low Mileage,5472,185424
80,All,5639,187111
81,Ultra High Mileage,1,8
81,High Frequency High Mileage,18,146
81,Low Frequency High Mileage,176,1728
81,Low Frequency Low Mileage,5541,190965
81,All,5736,192847
82,Ultra High Mileage,1,9
82,High Frequency High Mileage,31,177
82,Low Frequency High Mileage,188,1916
82,Low Frequency Low Mileage,5728,196693
82,All,5948,198795
83,High Frequency High Mileage,36,213
83,Low Frequency High Mileage,189,2105
83,Low Frequency Low Mileage,5685,202378
83,All,5910,204705
84,High Frequency High Mileage,28,241
84,Low Frequency High Mileage,221,2326
84,Low Frequency Low Mileage,5721,208099
84,All,5970,210675
85,High Frequency High Mileage,35,276
85,Low Frequency High Mileage,251,2577
85,Low Frequency Low Mileage,5926,214025
85,All,6212,216887
86,High Frequency High Mileage,42,318
86,Low Frequency High Mileage,286,2863
86,Low Frequency Low Mileage,5976,220001
86,All,6304,223191
87,High Frequency High Mileage,51,369
87,Low Frequency High Mileage,294,3157
87,Low Frequency Low Mileage,5950,225951
87,All,6295,229486
88,High Frequency High Mileage,55,424
88,Low Frequency High Mileage,296,3453
88,Low Frequency Low Mileage,6227,232178
88,All,6578,236064
89,Ultra High Mileage,2,11
89,High Frequency High Mileage,60,484
89,Low Frequency High Mileage,355,3808
89,Low Frequency Low Mileage,6187,238365
89,All,6604,242668
90,High Frequency High Mileage,90,574
90,Low Frequency High Mileage,349,4157
90,Low Frequency Low Mileage,6142,244507
90,All,6581,249249
91,Ultra High Mileage,1,12
91,High Frequency High Mileage,86,660
91,Low Frequency High Mileage,388,4545
91,Low Frequency Low Mileage,6389,250896
91,All,6864,256113
92,Ultra High Mileage,2,14
92,High Frequency High Mileage,108,768
92,Low Frequency High Mileage,365,4910
92,Low Frequency Low Mileage,6238,257134
92,All,6713,262826
93,Ultra High Mileage,3,17
93,High Frequency High Mileage,107,875
93,Low Frequency High Mileage,385,5295
93,Low Frequency Low Mileage,6501,263635
93,All,6996,269822
94,Ultra High Mileage,1,18
94,High Frequency High Mileage,130,1005
94,Low Frequency High Mileage,426,5721
94,Low Frequency Low Mileage,6524,270159
94,All,7081,276903
95,Ultra High Mileage,6,24
95,High Frequency High Mileage,135,1140
95,Low Frequency High Mileage,463,6184
95,Low Frequency Low Mileage,6499,276658
95,All,7103,284006
96,Ultra High Mileage,3,27
96,High Frequency High Mileage,161,1301
96,Low Frequency High Mileage,468,6652
96,Low Frequency Low Mileage,6707,283365
96,All,7339,291345
97,High Frequency High Mileage,175,1476
97,Low Frequency High Mileage,546,7198
97,Low Frequency Low Mileage,6854,290219
97,All,7575,298920
98,Ultra High Mileage,3,30
98,High Frequency High Mileage,185,1661
98,Low Frequency High Mileage,532,7730
98,Low Frequency Low Mileage,6850,297069
98,All,7570,306490
99,Ultra High Mileage,5,35
99,High Frequency High Mileage,250,1911
99,Low Frequency High Mileage,571,8301
99,Low Frequency Low Mileage,6675,303744
99,All,7501,313991
100,Ultra High Mileage,4,39
100,High Frequency High Mileage,254,2165
100,Low Frequency High Mileage,611,8912
100,Low Frequency Low Mileage,6816,310560
100,All,7685,321676
101,Ultra High Mileage,6,45
101,High Frequency High Mileage,270,2435
101,Low Frequency High Mileage,589,9501
101,Low Frequency Low Mileage,6985,317545
101,All,7850,329526
102,Ultra High Mileage,6,51
102,High Frequency High Mileage,311,2746
102,Low Frequency High Mileage,644,10145
102,Low Frequency Low Mileage,6897,324442
102,All,7858,337384
103,Ultra High Mileage,2,53
103,High Frequency High Mileage,308,3054
103,Low Frequency High Mileage,649,10794
103,Low Frequency Low Mileage,6891,331333
103,All,7850,345234
104,Ultra High Mileage,7,60
104,High Frequency High Mileage,357,3411
104,Low Frequency High Mileage,714,11508
104,Low Frequency Low Mileage,7161,338494
104,All,8239,353473
105,Ultra High Mileage,5,65
105,High Frequency High Mileage,342,3753
105,Low Frequency High Mileage,739,12247
105,Low Frequency Low Mileage,7111,345605
105,All,8197,361670
106,Ultra High Mileage,7,72
106,High Frequency High Mileage,394,4147
106,Low Frequency High Mileage,753,13000
106,Low Frequency Low Mileage,7200,352805
106,All,8354,370024
107,Ultra High Mileage,8,80
107,High Frequency High Mileage,427,4574
107,Low Frequency High Mileage,788,13788
107,Low Frequency Low Mileage,7416,360221
107,All,8639,378663
108,Ultra High Mileage,4,84
108,High Frequency High Mileage,496,5070
108,Low Frequency High Mileage,804,14592
108,Low Frequency Low Mileage,7284,367505
108,All,8588,387251
109,Ultra High Mileage,3,87
109,High Frequency High Mileage,469,5539
109,Low Frequency High Mileage,846,15438
109,Low Frequency Low Mileage,7402,374907
109,All,8720,395971
110,Ultra High Mileage,7,94
110,High Frequency High Mileage,518,6057
110,Low Frequency High Mileage,894,16332
110,Low Frequency Low Mileage,7393,382300
110,All,8812,404783
111,Ultra High Mileage,10,104
111,High Frequency High Mileage,568,6625
111,Low Frequency High Mileage,942,17274
111,Low Frequency Low Mileage,7501,389801
111,All,9021,413804
112,Ultra High Mileage,7,111
112,High Frequency High Mileage,577,7202
112,Low Frequency High Mileage,908,18182
112,Low Frequency Low Mileage,7483,397284
112,All,8975,422779
113,Ultra High Mileage,10,121
113,High Frequency High Mileage,560,7762
113,Low Frequency High Mileage,977,19159
113,Low Frequency Low Mileage,7463,404747
113,All,9010,431789
114,Ultra High Mileage,14,135
114,High Frequency High Mileage,679,8441
114,Low Frequency High Mileage,1019,20178
114,Low Frequency Low Mileage,7498,412245
114,All,9210,440999
115,Ultra High Mileage,10,145
115,High Frequency High Mileage,708,9149
115,Low Frequency High Mileage,1017,21195
115,Low Frequency Low Mileage,7573,419818
115,All,9308,450307
116,Ultra High Mileage,10,155
116,High Frequency High Mileage,730,9879
116,Low Frequency High Mileage,1093,22288
116,Low Frequency Low Mileage,7578,427396
116,All,9411,459718
117,Ultra High Mileage,7,162
117,High Frequency High Mileage,774,10653
117,Low Frequency High Mileage,1089,23377
117,Low Frequency Low Mileage,7528,434924
117,All,9398,469116
118,Ultra High Mileage,5,167
118,High Frequency High Mileage,826,11479
118,Low Frequency High Mileage,1089,24466
118,Low Frequency Low Mileage,7506,442430
118,All,9426,478542
119,Ultra High Mileage,14,181
119,High Frequency High Mileage,818,12297
119,Low Frequency High Mileage,1242,25708
119,Low Frequency Low Mileage,7508,449938
119,All,9582,488124
120,Ultra High Mileage,9,190
120,High Frequency High Mileage,815,13112
120,Low Frequency High Mileage,1250,26958
120,Low Frequency Low Mileage,7551,457489
120,All,9625,497749
121,Ultra High Mileage,13,203
121,High Frequency High Mileage,865,13977
121,Low Frequency High Mileage,1193,28151
121,Low Frequency Low Mileage,7506,464995
121,All,9577,507326
122,Ultra High Mileage,14,217
122,High Frequency High Mileage,891,14868
122,Low Frequency High Mileage,1319,29470
122,Low Frequency Low Mileage,7570,472565
122,All,9794,517120
123,Ultra High Mileage,18,235
123,High Frequency High Mileage,968,15836
123,Low Frequency High Mileage,1379,30849
123,Low Frequency Low Mileage,7528,480093
123,All,9893,527013
124,Ultra High Mileage,16,251
124,High Frequency High Mileage,996,16832
124,Low Frequency High Mileage,1323,32172
124,Low Frequency Low Mileage,7476,487569
124,All,9811,536824
125,Ultra High Mileage,21,272
125,High Frequency High Mileage,1038,17870
125,Low Frequency High Mileage,1517,33689
125,Low Frequency Low Mileage,7672,495241
125,All,10248,547072
126,Ultra High Mileage,20,292
126,High Frequency High Mileage,1086,18956
126,Low Frequency High Mileage,1424,35113
126,Low Frequency Low Mileage,7554,502795
126,All,10084,557156
127,Ultra High Mileage,20,312
127,High Frequency High Mileage,1149,20105
127,Low Frequency High Mileage,1594,36707
127,Low Frequency Low Mileage,7515,510310
127,All,10278,567434
128,Ultra High Mileage,22,334
128,High Frequency High Mileage,1201,21306
128,Low Frequency High Mileage,1578,38285
128,Low Frequency Low Mileage,7431,517741
128,All,10232,577666
129,Ultra High Mileage,15,349
129,High Frequency High Mileage,1204,22510
129,Low Frequency High Mileage,1640,39925
129,Low Frequency Low Mileage,7487,525228
129,All,10346,588012
130,Ultra High Mileage,23,372
130,High Frequency High Mileage,1204,23714
130,Low Frequency High Mileage,1579,41504
130,Low Frequency Low Mileage,7310,532538
130,All,10116,598128
131,Ultra High Mileage,29,401
131,High Frequency High Mileage,1277,24991
131,Low Frequency High Mileage,1736,43240
131,Low Frequency Low Mileage,7288,539826
131,All,10330,608458
132,Ultra High Mileage,28,429
132,High Frequency High Mileage,1265,26256
132,Low Frequency High Mileage,1865,45105
132,Low Frequency Low Mileage,7128,546954
132,All,10286,618744
133,Ultra High Mileage,23,452
133,High Frequency High Mileage,1364,27620
133,Low Frequency High Mileage,1844,46949
133,Low Frequency Low Mileage,7312,554266
133,All,10543,629287
134,Ultra High Mileage,24,476
134,High Frequency High Mileage,1359,28979
134,Low Frequency High Mileage,1925,48874
134,Low Frequency Low Mileage,7235,561501
134,All,10543,639830
135,Ultra High Mileage,34,510
135,High Frequency High Mileage,1400,30379
135,Low Frequency High Mileage,2012,50886
135,Low Frequency Low Mileage,7107,568608
135,All,10553,650383
136,Ultra High Mileage,38,548
136,High Frequency High Mileage,1404,31783
136,Low Frequency High Mileage,1985,52871
136,Low Frequency Low Mileage,7105,575713
136,All,10532,660915
137,Ultra High Mileage,38,586
137,High Frequency High Mileage,1499,33282
137,Low Frequency High Mileage,2176,55047
137,Low Frequency Low Mileage,7042,582755
137,All,10755,671670
138,Ultra High Mileage,34,620
138,High Frequency High Mileage,1458,34740
138,Low Frequency High Mileage,2173,57220
138,Low Frequency Low Mileage,6923,589678
138,All,10588,682258
139,Ultra High Mileage,32,652
139,High Frequency High Mileage,1470,36210
139,Low Frequency High Mileage,2273,59493
139,Low Frequency Low Mileage,6872,596550
139,All,10647,692905
140,Ultra High Mileage,34,686
140,High Frequency High Mileage,1591,37801
140,Low Frequency High Mileage,2298,61791
140,Low Frequency Low Mileage,6704,603254
140,All,10627,703532
141,Ultra High Mileage,47,733
141,High Frequency High Mileage,1657,39458
141,Low Frequency High Mileage,2380,64171
141,Low Frequency Low Mileage,6567,609821
141,All,10651,714183
142,Ultra High Mileage,43,776
142,High Frequency High Mileage,1705,41163
142,Low Frequency High Mileage,2491,66662
142,Low Frequency Low Mileage,6590,616411
142,All,10829,725012
143,Ultra High Mileage,34,810
143,High Frequency High Mileage,1661,42824
143,Low Frequency High Mileage,2411,69073
143,Low Frequency Low Mileage,6515,622926
143,All,10621,735633
144,Ultra High Mileage,41,851
144,High Frequency High Mileage,1614,44438
144,Low Frequency High Mileage,2536,71609
144,Low Frequency Low Mileage,6298,629224
144,All,10489,746122
145,Ultra High Mileage,37,888
145,High Frequency High Mileage,1696,46134
145,Low Frequency High Mileage,2671,74280
145,Low Frequency Low Mileage,6213,635437
145,All,10617,756739
146,Ultra High Mileage,48,936
146,High Frequency High Mileage,1821,47955
146,Low Frequency High Mileage,2725,77005
146,Low Frequency Low Mileage,6149,641586
146,All,10743,767482
147,Ultra High Mileage,58,994
147,High Frequency High Mileage,1793,49748
147,Low Frequency High Mileage,2675,79680
147,Low Frequency Low Mileage,6073,647659
147,All,10599,778081
148,Ultra High Mileage,52,1046
148,High Frequency High Mileage,1811,51559
148,Low Frequency High Mileage,2856,82536
148,Low Frequency Low Mileage,5802,653461
148,All,10521,788602
149,Ultra High Mileage,48,1094
149,High Frequency High Mileage,1827,53386
149,Low Frequency High Mileage,2895,85431
149,Low Frequency Low Mileage,5959,659420
149,All,10729,799331
150,Ultra High Mileage,54,1148
150,High Frequency High Mileage,1827,55213
150,Low Frequency High Mileage,2915,88346
150,Low Frequency Low Mileage,5575,664995
150,All,10371,809702
151,Ultra High Mileage,48,1196
151,High Frequency High Mileage,1920,57133
151,Low Frequency High Mileage,3088,91434
151,Low Frequency Low Mileage,5743,670738
151,All,10799,820501
152,Ultra High Mileage,57,1253
152,High Frequency High Mileage,1858,58991
152,Low Frequency High Mileage,3144,94578
152,Low Frequency Low Mileage,5433,676171
152,All,10492,830993
153,Ultra High Mileage,63,1316
153,High Frequency High Mileage,1891,60882
153,Low Frequency High Mileage,3164,97742
153,Low Frequency Low Mileage,5532,681703
153,All,10650,841643
154,Ultra High Mileage,65,1381
154,High Frequency High Mileage,1942,62824
154,Low Frequency High Mileage,3211,100953
154,Low Frequency Low Mileage,5415,687118
154,All,10633,852276
155,Ultra High Mileage,77,1458
155,High Frequency High Mileage,1943,64767
155,Low Frequency High Mileage,3259,104212
155,Low Frequency Low Mileage,5252,692370
155,All,10531,862807
156,Ultra High Mileage,71,1529
156,High Frequency High Mileage,2029,66796
156,Low Frequency High Mileage,3288,107500
156,Low Frequency Low Mileage,5202,697572
156,All,10590,873397
157,Ultra High Mileage,92,1621
157,High Frequency High Mileage,1926,68722
157,Low Frequency High Mileage,3499,110999
157,Low Frequency Low Mileage,5000,702572
157,All,10517,883914
158,Ultra High Mileage,88,1709
158,High Frequency High Mileage,1921,70643
158,Low Frequency High Mileage,3478,114477
158,Low Frequency Low Mileage,4850,707422
158,All,10337,894251
159,Ultra High Mileage,89,1798
159,High Frequency High Mileage,1988,72631
159,Low Frequency High Mileage,3675,118152
159,Low Frequency Low Mileage,4833,712255
159,All,10585,904836
160,Ultra High Mileage,101,1899
160,High Frequency High Mileage,1979,74610
160,Low Frequency High Mileage,3671,121823
160,Low Frequency Low Mileage,4488,716743
160,All,10239,915075
161,Ultra High Mileage,97,1996
