Clusters,With Incentive - 5Y,incentive
Ultra High Mileage,0.122221348,0
High Frequency High Mileage,0.485241389,0
Low Frequency High Mileage,0.018506872,0
Low Frequency Low Mileage,4.18E-04,0
All,0.082897239,0
Ultra High Mileage,0.123729132,100
High Frequency High Mileage,0.495941634,100
Low Frequency High Mileage,0.019946649,100
Low Frequency Low Mileage,5.17E-04,100
All,0.084979007,100
Ultra High Mileage,0.125206639,200
High Frequency High Mileage,0.507965827,200
Low Frequency High Mileage,0.021543653,200
Low Frequency Low Mileage,6.43E-04,200
All,0.087299192,200
Ultra High Mileage,0.126738645,300
High Frequency High Mileage,0.520372315,300
Low Frequency High Mileage,0.023248419,300
Low Frequency Low Mileage,8.06E-04,300
All,0.089726554,300
Ultra High Mileage,0.12791944,400
High Frequency High Mileage,0.532855263,400
Low Frequency High Mileage,0.025099813,400
Low Frequency Low Mileage,9.96E-04,400
All,0.092191101,400
Ultra High Mileage,0.12928795,500
High Frequency High Mileage,0.545466984,500
Low Frequency High Mileage,0.026972406,500
Low Frequency Low Mileage,0.001213146,500
All,0.094708689,500
Ultra High Mileage,0.130680683,600
High Frequency High Mileage,0.558046511,600
Low Frequency High Mileage,0.028972194,600
Low Frequency Low Mileage,0.001434575,600
All,0.097265649,600
Ultra High Mileage,0.132182412,700
High Frequency High Mileage,0.571269905,700
Low Frequency High Mileage,0.03110801,700
Low Frequency Low Mileage,0.001736095,700
All,0.099999234,700
Ultra High Mileage,0.133944521,800
High Frequency High Mileage,0.583861504,800
Low Frequency High Mileage,0.033280924,800
Low Frequency Low Mileage,0.002096505,800
All,0.102709306,800
Ultra High Mileage,0.135506803,900
High Frequency High Mileage,0.595547668,900
Low Frequency High Mileage,0.035690563,900
Low Frequency Low Mileage,0.002515806,900
All,0.105378912,900
Ultra High Mileage,0.136851093,1000
High Frequency High Mileage,0.607608079,1000
Low Frequency High Mileage,0.03822563,1000
Low Frequency Low Mileage,0.002975153,1000
All,0.108137105,1000
Ultra High Mileage,0.13824988,1100
High Frequency High Mileage,0.619471306,1100
Low Frequency High Mileage,0.040960322,1100
Low Frequency Low Mileage,0.00354168,1100
All,0.110984976,1100
Ultra High Mileage,0.139927215,1200
High Frequency High Mileage,0.63146733,1200
Low Frequency High Mileage,0.043947638,1200
Low Frequency Low Mileage,0.004137653,1200
All,0.113967914,1200
Ultra High Mileage,0.141428943,1300
High Frequency High Mileage,0.643081059,1300
Low Frequency High Mileage,0.04703035,1300
Low Frequency Low Mileage,0.004759538,1300
All,0.116924605,1300
Ultra High Mileage,0.14297306,1400
High Frequency High Mileage,0.654473459,1400
Low Frequency High Mileage,0.050213758,1400
Low Frequency Low Mileage,0.005509804,1400
All,0.11994582,1400
Ultra High Mileage,0.14449901,1500
High Frequency High Mileage,0.666384975,1500
Low Frequency High Mileage,0.05373812,1500
