Clusters,With Incentive - 5Y,Upper Limit With Incentive - 5Y,Lower Limit With Incentive - 5Y,incentive
Ultra High Mileage,336.972347,-1071.089114,1163.842755,0
High Frequency High Mileage,286.5641516,-1071.089114,1163.842755,0
Low Frequency High Mileage,-739.0868743,-1071.089114,1163.842755,0
Low Frequency Low Mileage,-850.805546,-1071.089114,1163.842755,0
All,-629.084756,-1071.089114,1163.842755,0
Ultra High Mileage,356.972347,-1051.089114,1183.842755,100
High Frequency High Mileage,306.5641516,-1051.089114,1183.842755,100
Low Frequency High Mileage,-719.0868743,-1051.089114,1183.842755,100
Low Frequency Low Mileage,-830.805546,-1051.089114,1183.842755,100
All,-609.084756,-1051.089114,1183.842755,100
Ultra High Mileage,376.972347,-1031.089114,1203.842755,200
High Frequency High Mileage,326.5641516,-1031.089114,1203.842755,200
Low Frequency High Mileage,-699.0868743,-1031.089114,1203.842755,200
Low Frequency Low Mileage,-810.805546,-1031.089114,1203.842755,200
All,-589.084756,-1031.089114,1203.842755,200
Ultra High Mileage,396.972347,-1011.089114,1223.842755,300
High Frequency High Mileage,346.5641516,-1011.089114,1223.842755,300
Low Frequency High Mileage,-679.0868743,-1011.089114,1223.842755,300
Low Frequency Low Mileage,-790.805546,-1011.089114,1223.842755,300
All,-569.084756,-1011.089114,1223.842755,300
Ultra High Mileage,416.972347,-991.089114,1243.842755,400
High Frequency High Mileage,366.5641516,-991.089114,1243.842755,400
Low Frequency High Mileage,-659.0868743,-991.089114,1243.842755,400
Low Frequency Low Mileage,-770.805546,-991.089114,1243.842755,400
All,-549.084756,-991.089114,1243.842755,400
Ultra High Mileage,436.972347,-971.089114,1263.842755,500
High Frequency High Mileage,386.5641516,-971.089114,1263.842755,500
Low Frequency High Mileage,-639.0868743,-971.089114,1263.842755,500
Low Frequency Low Mileage,-750.805546,-971.089114,1263.842755,500
All,-529.084756,-971.089114,1263.842755,500
Ultra High Mileage,456.972347,-951.089114,1283.842755,600
High Frequency High Mileage,406.5641516,-951.089114,1283.842755,600
Low Frequency High Mileage,-619.0868743,-951.089114,1283.842755,600
Low Frequency Low Mileage,-730.805546,-951.089114,1283.842755,600
All,-509.084756,-951.089114,1283.842755,600
Ultra High Mileage,476.972347,-931.089114,1303.842755,700
High Frequency High Mileage,426.5641516,-931.089114,1303.842755,700
Low Frequency High Mileage,-599.0868743,-931.089114,1303.842755,700
Low Frequency Low Mileage,-710.805546,-931.089114,1303.842755,700
All,-489.084756,-931.089114,1303.842755,700
Ultra High Mileage,496.972347,-911.089114,1323.842755,800
High Frequency High Mileage,446.5641516,-911.089114,1323.842755,800
Low Frequency High Mileage,-579.0868743,-911.089114,1323.842755,800
Low Frequency Low Mileage,-690.805546,-911.089114,1323.842755,800
All,-469.084756,-911.089114,1323.842755,800
Ultra High Mileage,516.972347,-891.089114,1343.842755,900
High Frequency High Mileage,466.5641516,-891.089114,1343.842755,900
Low Frequency High Mileage,-559.0868743,-891.089114,1343.842755,900
Low Frequency Low Mileage,-670.805546,-891.089114,1343.842755,900
All,-449.084756,-891.089114,1343.842755,900
Ultra High Mileage,536.972347,-871.089114,1363.842755,1000
High Frequency High Mileage,486.5641516,-871.089114,1363.842755,1000
Low Frequency High Mileage,-539.0868743,-871.089114,1363.842755,1000
Low Frequency Low Mileage,-650.805546,-871.089114,1363.842755,1000
All,-429.084756,-871.089114,1363.842755,1000
Ultra High Mileage,556.972347,-851.089114,1383.842755,1100
High Frequency High Mileage,506.5641516,-851.089114,1383.842755,1100
Low Frequency High Mileage,-519.0868743,-851.089114,1383.842755,1100
Low Frequency Low Mileage,-630.805546,-851.089114,1383.842755,1100
All,-409.084756,-851.089114,1383.842755,1100
Ultra High Mileage,576.972347,-831.089114,1403.842755,1200
High Frequency High Mileage,526.5641516,-831.089114,1403.842755,1200
Low Frequency High Mileage,-499.0868743,-831.089114,1403.842755,1200
Low Frequency Low Mileage,-610.805546,-831.089114,1403.842755,1200
All,-389.084756,-831.089114,1403.842755,1200
Ultra High Mileage,596.972347,-811.089114,1423.842755,1300
High Frequency High Mileage,546.5641516,-811.089114,1423.842755,1300
Low Frequency High Mileage,-479.0868743,-811.089114,1423.842755,1300
Low Frequency Low Mileage,-590.805546,-811.089114,1423.842755,1300
All,-369.084756,-811.089114,1423.842755,1300
Ultra High Mileage,616.972347,-791.089114,1443.842755,1400
High Frequency High Mileage,566.5641516,-791.089114,1443.842755,1400
Low Frequency High Mileage,-459.0868743,-791.089114,1443.842755,1400
Low Frequency Low Mileage,-570.805546,-791.089114,1443.842755,1400
All,-349.084756,-791.089114,1443.842755,1400
Ultra High Mileage,636.972347,-771.089114,1463.842755,1500
High Frequency High Mileage,586.5641516,-771.089114,1463.842755,1500
Low Frequency High Mileage,-439.0868743,-771.089114,1463.842755,1500
Low Frequency Low Mileage,-550.805546,-771.089114,1463.842755,1500
All,-329.084756,-771.089114,1463.842755,1500
Ultra High Mileage,656.972347,-751.089114,1483.842755,1600
High Frequency High Mileage,606.5641516,-751.089114,1483.842755,1600
Low Frequency High Mileage,-419.0868743,-751.089114,1483.842755,1600
Low Frequency Low Mileage,-530.805546,-751.089114,1483.842755,1600
All,-309.084756,-751.089114,1483.842755,1600
Ultra High Mileage,676.972347,-731.089114,1503.842755,1700
High Frequency High Mileage,626.5641516,-731.089114,1503.842755,1700
Low Frequency High Mileage,-399.0868743,-731.089114,1503.842755,1700
Low Frequency Low Mileage,-510.805546,-731.089114,1503.842755,1700
All,-289.084756,-731.089114,1503.842755,1700
Ultra High Mileage,696.972347,-711.089114,1523.842755,1800
High Frequency High Mileage,646.5641516,-711.089114,1523.842755,1800
Low Frequency High Mileage,-379.0868743,-711.089114,1523.842755,1800
Low Frequency Low Mileage,-490.805546,-711.089114,1523.842755,1800
All,-269.084756,-711.089114,1523.842755,1800
Ultra High Mileage,716.972347,-691.089114,1543.842755,1900
High Frequency High Mileage,666.5641516,-691.089114,1543.842755,1900
Low Frequency High Mileage,-359.0868743,-691.089114,1543.842755,1900
Low Frequency Low Mileage,-470.805546,-691.089114,1543.842755,1900
All,-249.084756,-691.089114,1543.842755,1900
Ultra High Mileage,736.972347,-671.089114,1563.842755,2000
High Frequency High Mileage,686.5641516,-671.089114,1563.842755,2000
Low Frequency High Mileage,-339.0868743,-671.089114,1563.842755,2000
Low Frequency Low Mileage,-450.805546,-671.089114,1563.842755,2000
All,-229.084756,-671.089114,1563.842755,2000
Ultra High Mileage,756.972347,-651.089114,1583.842755,2100
High Frequency High Mileage,706.5641516,-651.089114,1583.842755,2100
Low Frequency High Mileage,-319.0868743,-651.089114,1583.842755,2100
Low Frequency Low Mileage,-430.805546,-651.089114,1583.842755,2100
All,-209.084756,-651.089114,1583.842755,2100
Ultra High Mileage,776.972347,-631.089114,1603.842755,2200
High Frequency High Mileage,726.5641516,-631.089114,1603.842755,2200
Low Frequency High Mileage,-299.0868743,-631.089114,1603.842755,2200
Low Frequency Low Mileage,-410.805546,-631.089114,1603.842755,2200
All,-189.084756,-631.089114,1603.842755,2200
Ultra High Mileage,796.972347,-611.089114,1623.842755,2300
High Frequency High Mileage,746.5641516,-611.089114,1623.842755,2300
Low Frequency High Mileage,-279.0868743,-611.089114,1623.842755,2300
Low Frequency Low Mileage,-390.805546,-611.089114,1623.842755,2300
All,-169.084756,-611.089114,1623.842755,2300
Ultra High Mileage,816.972347,-591.089114,1643.842755,2400
High Frequency High Mileage,766.5641516,-591.089114,1643.842755,2400
Low Frequency High Mileage,-259.0868743,-591.089114,1643.842755,2400
Low Frequency Low Mileage,-370.805546,-591.089114,1643.842755,2400
All,-149.084756,-591.089114,1643.842755,2400
Ultra High Mileage,836.972347,-571.089114,1663.842755,2500
High Frequency High Mileage,786.5641516,-571.089114,1663.842755,2500
Low Frequency High Mileage,-239.0868743,-571.089114,1663.842755,2500
Low Frequency Low Mileage,-350.805546,-571.089114,1663.842755,2500
All,-129.084756,-571.089114,1663.842755,2500
Ultra High Mileage,856.972347,-551.089114,1683.842755,2600
High Frequency High Mileage,806.5641516,-551.089114,1683.842755,2600
Low Frequency High Mileage,-219.0868743,-551.089114,1683.842755,2600
Low Frequency Low Mileage,-330.805546,-551.089114,1683.842755,2600
All,-109.084756,-551.089114,1683.842755,2600
Ultra High Mileage,876.972347,-531.089114,1703.842755,2700
High Frequency High Mileage,826.5641516,-531.089114,1703.842755,2700
Low Frequency High Mileage,-199.0868743,-531.089114,1703.842755,2700
Low Frequency Low Mileage,-310.805546,-531.089114,1703.842755,2700
All,-89.08475597,-531.089114,1703.842755,2700
Ultra High Mileage,896.972347,-511.089114,1723.842755,2800
High Frequency High Mileage,846.5641516,-511.089114,1723.842755,2800
Low Frequency High Mileage,-179.0868743,-511.089114,1723.842755,2800
Low Frequency Low Mileage,-290.805546,-511.089114,1723.842755,2800
All,-69.08475597,-511.089114,1723.842755,2800
Ultra High Mileage,916.972347,-491.089114,1743.842755,2900
High Frequency High Mileage,866.5641516,-491.089114,1743.842755,2900
Low Frequency High Mileage,-159.0868743,-491.089114,1743.842755,2900
Low Frequency Low Mileage,-270.805546,-491.089114,1743.842755,2900
All,-49.08475597,-491.089114,1743.842755,2900
Ultra High Mileage,936.972347,-471.089114,1763.842755,3000
High Frequency High Mileage,886.5641516,-471.089114,1763.842755,3000
Low Frequency High Mileage,-139.0868743,-471.089114,1763.842755,3000
Low Frequency Low Mileage,-250.805546,-471.089114,1763.842755,3000
All,-29.08475597,-471.089114,1763.842755,3000
Ultra High Mileage,956.972347,-451.089114,1783.842755,3100
High Frequency High Mileage,906.5641516,-451.089114,1783.842755,3100
Low Frequency High Mileage,-119.0868743,-451.089114,1783.842755,3100
Low Frequency Low Mileage,-230.805546,-451.089114,1783.842755,3100
All,-9.084755969,-451.089114,1783.842755,3100
Ultra High Mileage,976.972347,-431.089114,1803.842755,3200
High Frequency High Mileage,926.5641516,-431.089114,1803.842755,3200
Low Frequency High Mileage,-99.08687433,-431.089114,1803.842755,3200
Low Frequency Low Mileage,-210.805546,-431.089114,1803.842755,3200
All,10.91524403,-431.089114,1803.842755,3200
Ultra High Mileage,996.972347,-411.089114,1823.842755,3300
High Frequency High Mileage,946.5641516,-411.089114,1823.842755,3300
Low Frequency High Mileage,-79.08687433,-411.089114,1823.842755,3300
Low Frequency Low Mileage,-190.805546,-411.089114,1823.842755,3300
All,30.91524403,-411.089114,1823.842755,3300
Ultra High Mileage,1016.972347,-391.089114,1843.842755,3400
High Frequency High Mileage,966.5641516,-391.089114,1843.842755,3400
Low Frequency High Mileage,-59.08687433,-391.089114,1843.842755,3400
Low Frequency Low Mileage,-170.805546,-391.089114,1843.842755,3400
All,50.91524403,-391.089114,1843.842755,3400
Ultra High Mileage,1036.972347,-371.089114,1863.842755,3500
High Frequency High Mileage,986.5641516,-371.089114,1863.842755,3500
Low Frequency High Mileage,-39.08687433,-371.089114,1863.842755,3500
Low Frequency Low Mileage,-150.805546,-371.089114,1863.842755,3500
All,70.91524403,-371.089114,1863.842755,3500
Ultra High Mileage,1056.972347,-351.089114,1883.842755,3600
High Frequency High Mileage,1006.564152,-351.089114,1883.842755,3600
Low Frequency High Mileage,-19.08687433,-351.089114,1883.842755,3600
Low Frequency Low Mileage,-130.805546,-351.089114,1883.842755,3600
All,90.91524403,-351.089114,1883.842755,3600
Ultra High Mileage,1076.972347,-331.089114,1903.842755,3700
High Frequency High Mileage,1026.564152,-331.089114,1903.842755,3700
Low Frequency High Mileage,0.913125667,-331.089114,1903.842755,3700
Low Frequency Low Mileage,-110.805546,-331.089114,1903.842755,3700
All,110.915244,-331.089114,1903.842755,3700
Ultra High Mileage,1096.972347,-311.089114,1923.842755,3800
High Frequency High Mileage,1046.564152,-311.089114,1923.842755,3800
Low Frequency High Mileage,20.91312567,-311.089114,1923.842755,3800
Low Frequency Low Mileage,-90.80554602,-311.089114,1923.842755,3800
All,130.915244,-311.089114,1923.842755,3800
Ultra High Mileage,1116.972347,-291.089114,1943.842755,3900
High Frequency High Mileage,1066.564152,-291.089114,1943.842755,3900
Low Frequency High Mileage,40.91312567,-291.089114,1943.842755,3900
Low Frequency Low Mileage,-70.80554602,-291.089114,1943.842755,3900
All,150.915244,-291.089114,1943.842755,3900
Ultra High Mileage,1136.972347,-271.089114,1963.842755,4000
High Frequency High Mileage,1086.564152,-271.089114,1963.842755,4000
Low Frequency High Mileage,60.91312567,-271.089114,1963.842755,4000
Low Frequency Low Mileage,-50.80554602,-271.089114,1963.842755,4000
All,170.915244,-271.089114,1963.842755,4000
Ultra High Mileage,1156.972347,-251.089114,1983.842755,4100
High Frequency High Mileage,1106.564152,-251.089114,1983.842755,4100
Low Frequency High Mileage,80.91312567,-251.089114,1983.842755,4100
Low Frequency Low Mileage,-30.80554602,-251.089114,1983.842755,4100
All,190.915244,-251.089114,1983.842755,4100
Ultra High Mileage,1176.972347,-231.089114,2003.842755,4200
High Frequency High Mileage,1126.564152,-231.089114,2003.842755,4200
Low Frequency High Mileage,100.9131257,-231.089114,2003.842755,4200
Low Frequency Low Mileage,-10.80554602,-231.089114,2003.842755,4200
All,210.915244,-231.089114,2003.842755,4200
Ultra High Mileage,1196.972347,-211.089114,2023.842755,4300
High Frequency High Mileage,1146.564152,-211.089114,2023.842755,4300
Low Frequency High Mileage,120.9131257,-211.089114,2023.842755,4300
Low Frequency Low Mileage,9.194453976,-211.089114,2023.842755,4300
All,230.915244,-211.089114,2023.842755,4300
Ultra High Mileage,1216.972347,-191.089114,2043.842755,4400
High Frequency High Mileage,1166.564152,-191.089114,2043.842755,4400
Low Frequency High Mileage,140.9131257,-191.089114,2043.842755,4400
Low Frequency Low Mileage,29.19445398,-191.089114,2043.842755,4400
All,250.915244,-191.089114,2043.842755,4400
Ultra High Mileage,1236.972347,-171.089114,2063.842755,4500
High Frequency High Mileage,1186.564152,-171.089114,2063.842755,4500
Low Frequency High Mileage,160.9131257,-171.089114,2063.842755,4500
Low Frequency Low Mileage,49.19445398,-171.089114,2063.842755,4500
All,270.915244,-171.089114,2063.842755,4500
Ultra High Mileage,1256.972347,-151.089114,2083.842755,4600
High Frequency High Mileage,1206.564152,-151.089114,2083.842755,4600
Low Frequency High Mileage,180.9131257,-151.089114,2083.842755,4600
Low Frequency Low Mileage,69.19445398,-151.089114,2083.842755,4600
All,290.915244,-151.089114,2083.842755,4600
Ultra High Mileage,1276.972347,-131.089114,2103.842755,4700
High Frequency High Mileage,1226.564152,-131.089114,2103.842755,4700
Low Frequency High Mileage,200.9131257,-131.089114,2103.842755,4700
Low Frequency Low Mileage,89.19445398,-131.089114,2103.842755,4700
All,310.915244,-131.089114,2103.842755,4700
Ultra High Mileage,1296.972347,-111.089114,2123.842755,4800
High Frequency High Mileage,1246.564152,-111.089114,2123.842755,4800
Low Frequency High Mileage,220.9131257,-111.089114,2123.842755,4800
Low Frequency Low Mileage,109.194454,-111.089114,2123.842755,4800
All,330.915244,-111.089114,2123.842755,4800
Ultra High Mileage,1316.972347,-91.08911396,2143.842755,4900
High Frequency High Mileage,1266.564152,-91.08911396,2143.842755,4900
Low Frequency High Mileage,240.9131257,-91.08911396,2143.842755,4900
Low Frequency Low Mileage,129.194454,-91.08911396,2143.842755,4900
All,350.915244,-91.08911396,2143.842755,4900
Ultra High Mileage,1336.972347,-71.08911396,2163.842755,5000
High Frequency High Mileage,1286.564152,-71.08911396,2163.842755,5000
Low Frequency High Mileage,260.9131257,-71.08911396,2163.842755,5000
