Iteration,All with BEV100,LFLM with BEV100,All with BEV250
1,43.57,67.94,86.17
2,41.55,64.15,84.66
3,21.64,56.64,69.15
4,45.95,80.95,86.17
5,46.00,72.49,88.00
6,21.80,56.80,69.26
7,34.87,69.87,78.41
8,37.38,72.38,80.17
9,35.76,70.76,79.03
10,60.07,98.89,81.88
11,52.81,85.26,93.11
12,56.91,92.95,96.18
13,23.79,58.79,70.65
14,40.49,62.17,83.87
15,41.25,76.25,82.87
16,49.36,78.80,90.52
17,29.84,64.84,74.89
18,39.44,74.44,81.61
19,43.32,67.48,85.99
20,35.94,70.94,79.16
21,39.19,74.19,81.43
22,39.84,60.95,83.38
23,30.75,65.75,75.52
24,54.27,88.00,94.20
25,37.07,55.75,81.30
26,47.46,75.24,89.10
27,46.64,73.70,88.48
28,48.55,77.29,89.91
29,25.22,60.22,71.65
30,43.97,68.69,86.48
31,51.42,82.67,92.07
32,28.97,63.97,74.28
33,56.43,92.05,95.82
34,37.24,56.07,81.43
35,16.23,51.23,65.36
36,25.85,60.85,72.10
37,26.06,61.06,72.24
38,46.72,73.84,88.54
39,41.00,76.00,82.70
40,56.92,92.97,96.19
41,28.35,63.35,73.85
42,27.47,62.47,73.23
43,36.97,71.97,79.88
44,35.57,70.57,78.90
45,23.11,58.11,70.18
46,22.93,57.93,70.05
47,46.73,73.88,88.55
48,47.87,76.01,89.40
49,28.88,63.88,74.21
50,38.81,73.81,81.17
51,54.49,88.42,94.37
52,23.88,58.88,70.72
53,47.86,75.99,89.39
54,47.49,75.29,89.12
55,45.11,70.84,87.34
56,50.93,81.74,91.70
57,43.57,67.94,86.18
58,19.56,54.56,67.69
59,35.70,70.70,78.99
60,52.71,85.07,93.03
61,54.02,89.02,91.81
62,54.18,87.84,94.14
63,47.17,74.70,88.88
64,43.78,68.33,86.33
65,22.57,57.57,69.80
66,42.76,66.42,85.57
67,42.31,65.58,85.23
68,44.66,79.66,85.26
69,53.29,86.16,93.47
70,51.73,86.73,90.21
71,58.66,96.23,97.49
72,22.90,57.90,70.03
73,60.04,98.82,81.88
74,50.18,80.33,91.13
75,58.90,96.69,97.67
76,32.91,67.91,77.04
77,25.57,60.57,71.90
78,49.10,78.31,90.32
79,30.74,65.74,75.52
80,24.10,59.10,70.87
81,58.33,95.62,97.25
82,28.65,63.65,74.05
83,51.41,82.64,92.05
84,42.71,66.34,85.53
85,35.94,70.94,79.16
86,58.35,95.66,97.26
87,40.63,75.63,82.44
88,44.03,68.81,86.53
89,48.28,76.78,89.71
90,38.47,58.39,82.36
91,58.29,95.55,97.22
